Railroad Code,Incident Number,Grade Crossing ID,Date,Time,State Name,Highway User,Temperature,Visibility,Weather Condition,Number of Locomotive Units,Number of Cars
CNW,950579,176937T,1995-03-17,04:25 PM,ILLINOIS,Truck,40,Day,Clear,1,8
CNW,950581,173908X,1995-03-19,03:44 PM,ILLINOIS,Truck,38,Day,Cloudy,1,4
CNW,951620,174574V,1995-03-22,08:40 PM,ILLINOIS,Truck-trailer,40,Dark,Rain,2,68
SP,D0155,750744B,1995-02-23,08:50 PM,CALIFORNIA,Truck,54,Dark,Clear,4,77
SP,D0165,766040P,1995-02-23,07:05 AM,CALIFORNIA,Auto,40,Dawn,Fog,4,91
SP,F0315,741535U,1995-02-16,08:40 AM,ARIZONA,Truck,60,Day,Clear,1,24
SP,F0345,741093S,1995-02-20,12:25 AM,ARIZONA,Auto,60,Dark,Clear,4,31
SP,F0445,741448R,1995-02-25,05:45 PM,ARIZONA,Other,70,Day,Clear,1,33
SP,G0165,746650T,1995-02-06,07:12 PM,TEXAS,Auto,68,Dark,Clear,2,32
SP,G0185,746742F,1995-02-08,05:45 PM,TEXAS,Truck,55,Day,Cloudy,2,114
SP,G0215,742721Y,1995-02-13,08:20 AM,TEXAS,Truck,48,Day,Fog,3,18
SP,H0505,743804R,1995-02-05,06:05 AM,TEXAS,Auto,55,Dark,Clear,6,37
SP,H0605,758524H,1995-02-15,06:00 AM,TEXAS,Auto,65,Dark,Rain,1,10
SP,H0685,748392X,1995-02-24,11:30 AM,TEXAS,Truck-trailer,75,Day,Clear,6,145
SP,H0705,743148J,1995-02-24,10:51 PM,TEXAS,Auto,60,Dark,Clear,1,21
SP,H0745,758210L,1995-02-27,08:12 PM,LOUISIANA,Auto,57,Dark,Cloudy,2,90
SP,J0245,767907J,1995-02-09,09:20 AM,LOUISIANA,Truck-trailer,40,Day,Cloudy,2,49
SP,J0265,762961K,1995-02-15,06:05 AM,LOUISIANA,Auto,60,Dark,Cloudy,2,51
SP,K0155,760982W,1995-02-05,01:00 PM,CALIFORNIA,Truck,50,Day,Cloudy,2,35
SP,L0075,741217H,1995-02-03,09:48 PM,TEXAS,Auto,48,Dark,Clear,1,7
SP,V0205,765408L,1995-02-21,07:20 AM,TEXAS,Other,52,Day,Clear,3,99
SSW,M0105,787541C,1995-02-18,05:26 PM,ARKANSAS,Truck,60,Day,Clear,2,35
SSW,R0075,813198G,1995-02-11,11:30 PM,KANSAS,Auto,10,Dark,Clear,4,74
SSW,V0115,790686S,1995-02-06,12:15 PM,TEXAS,Other,62,Day,Clear,2,21
SSW,V0195,789598K,1995-02-12,09:05 PM,TEXAS,Auto,40,Dark,Clear,4,24
SSW,W0195,787735H,1995-02-08,03:50 PM,ARKANSAS,Truck-trailer,39,Day,Clear,2,31
SSW,Y0055,596191J,1995-02-11,03:25 PM,TEXAS,Truck,15,Day,Snow,5,36
SSW,Y0065,596175A,1995-02-13,11:20 AM,TEXAS,Other,15,Day,Fog,4,27
SSW,Y0085,596142M,1995-02-16,05:57 PM,OKLAHOMA,Truck-trailer,50,Day,Clear,2,24
SSWN,X0115,078245J,1995-02-10,04:48 PM,MISSOURI,Truck,33,Day,Cloudy,3,40
ST,S95010,053124P,1995-02-04,06:16 PM,NEW HAMPSHIRE,Auto,28,Dusk,Snow,3,48
TKEN,195,916057J,1995-02-13,10:35 AM,TENNESSEE,Truck,50,Day,Cloudy,1,11
TPW,95X001,533423X,1995-02-08,05:00 PM,INDIANA,Auto,15,Day,Clear,1,9
TPW,95X002,801783K,1995-02-27,01:00 PM,ILLINOIS,Truck,32,Day,Cloudy,1,27
TSBY,TSB36995,548156R,1995-02-17,11:10 AM,MICHIGAN,Truck,25,Day,Clear,1,0
TSBY,TSB37095,548588P,1995-02-23,04:40 PM,MICHIGAN,Truck,30,Day,Snow,1,4
TSRR,35,350560W,1995-02-28,01:08 PM,TENNESSEE,Truck,50,Day,Cloudy,1,3
UP,0295CB003,816896K,1995-02-05,11:50 AM,NEBRASKA,Pedestrian,53,Day,Cloudy,4,80
UP,0295CB010,816845A,1995-02-12,06:30 PM,NEBRASKA,Auto,12,Day,Cloudy,1,4
UP,0295CE001,804881L,1995-02-03,07:55 AM,COLORADO,Auto,50,Day,Clear,2,28
UP,0295CE005,804338H,1995-02-13,04:35 PM,COLORADO,Auto,30,Day,Cloudy,2,34
UP,0295CE008,244861C,1995-02-14,01:30 PM,COLORADO,Auto,40,Day,Cloudy,2,11
UP,0295CE010,804480L,1995-02-16,07:00 AM,COLORADO,Auto,40,Day,Cloudy,4,53
UP,0295CE013,817838T,1995-02-23,08:10 PM,NEBRASKA,Auto,52,Dark,Clear,2,38
UP,0295CT007,NOTASGN,1995-02-15,12:30 PM,ILLINOIS,Truck,35,Day,Rain,1,0
UP,0295CT012,834255B,1995-02-22,01:00 PM,CALIFORNIA,Truck,60,Day,Clear,3,42
UP,0295FW002,848971H,1995-02-14,12:40 AM,TEXAS,Auto,33,Dark,Rain,2,15
UP,0295FW005,797667L,1995-02-20,08:10 PM,TEXAS,Auto,45,Dark,Clear,2,20
UP,0295LA003,811098V,1995-02-08,05:30 PM,CALIFORNIA,Auto,65,Dark,Clear,4,70
UP,0295LA007,806890S,1995-02-23,12:30 PM,UTAH,Auto,58,Day,Clear,3,8
UP,0295MX009,446788R,1995-02-04,08:44 PM,TEXAS,Auto,70,Dark,Clear,2,78
UP,0295SA005,796277V,1995-02-04,12:45 PM,TEXAS,Auto,-8,Day,Clear,2,40
UP,0295SA006,430270K,1995-02-06,12:35 PM,TEXAS,Truck,75,Day,Clear,2,1
UP,0295SA009,796507U,1995-02-15,02:15 AM,TEXAS,Auto,49,Dark,Rain,4,116
UP,0295SA011,436004J,1995-02-10,09:00 PM,TEXAS,Truck,72,Dark,Clear,3,60
UP,0295SA019,439670J,1995-02-20,04:00 PM,TEXAS,Other,70,Day,Clear,4,32
UP,0295SA021,NOTASGN,1995-02-22,03:55 PM,TEXAS,Truck,65,Day,Clear,1,14
UP,0295SA022,415686M,1995-02-23,01:40 PM,TEXAS,Truck,72,Day,Clear,4,115
UP,0295SA023,416312K,1995-02-23,03:30 AM,TEXAS,Truck,48,Dark,Fog,4,86
UP,0295SA025,416003X,1995-02-27,11:55 PM,TEXAS,Truck,65,Dark,Clear,3,80
UP,0295SL001,426232U,1995-02-01,07:55 AM,LOUISIANA,Auto,72,Day,Clear,1,7
